place,lat,lng,count
Italian (North),45.4642,9.19,34
Italian (South),40.8518,14.2681,34
Mediterranean (West),43.2965,5.3698,16
Mediterranean (East),37.9838,23.7275,16
Paris,48.8566,2.3522,38
Paris,48.8738,2.295,38
Paris,48.8417,2.3875,38
Paris,48.8867,2.3431,38
Madagascar,-18.7669,46.8691,22
Orient,35.0,105.0,21
Morocco,31.7917,-7.0926,19
Middle East,29.0,42.0,29
Provence,43.8333,5.3333,14
Damascus,33.5138,36.2765,13
Rome,41.9028,12.4964,13
Sicilian,37.5994,14.0154,12
France,48.8566,2.3522,1
France,45.764,4.8357,1
France,43.2965,5.3698,1
France,43.6047,1.4442,1
France,44.8378,-0.5792,1
France,47.2184,-1.5536,1
France,48.5734,7.7521,1
France,50.6292,3.0573,1
France,43.7102,7.262,1
France,45.1885,5.7245,1
France,47.322,5.0415,1
France,43.6583,6.9221,1
France,43.9493,5.127,1
France,47.9029,1.9039,1
Virginia,37.4316,-78.6569,8
Cassis,43.2147,5.5385,9
Atlas,31.0,2.0,7
Calabria,38.9,16.6,7
Brazilian,-14.235,-51.9253,6
Grasse,43.6583,6.9221,7
Cologne,50.9333,6.95,6
Haiti,18.9712,-72.2852,5
India,20.5937,78.9629,5
Laos,19.8563,102.4955,5
Guatemala,15.7835,-90.2308,5
Tunisia,33.8869,9.5375,4
Arabian,24.0,45.0,4
Turkey,38.9637,35.2433,4
China,35.8617,104.1954,3
Tahitian,-17.6509,-149.426,3
Venezuela,6.4238,-66.5897,3
London,51.5074,-0.1278,3
Florentine,43.7696,11.2558,3
Venice,45.4408,12.3155,4
Hollywood,34.0928,-118.3287,3
Tahiti,-17.6509,-149.426,3
Milan,45.4654,9.1859,3
Babylon,32.5355,44.4275,3
Pantelleria,36.8333,11.95,3
Persian,32.4279,53.688,2
Capri,40.5508,14.242,2
Ceylon,7.8731,80.7718,2
Antigua,17.0608,-61.7964,2
New York City,40.7128,-74.006,2
Florence,43.7696,11.2558,2
Aegean,38.5,26.0,2
Yunnan,25.0,102.0,2
Bali,-8.3405,115.092,2
Amalfi,40.634,14.6027,2
Peru,-9.19,-75.0152,2
Havana,23.1136,-82.3666,2
Cuban,21.5218,-77.7812,2
Georgia,42.3154,43.3569,2
Siam,15.87,100.9925,2
Casablanca,33.5731,-7.5898,2
Manhattan,40.7831,-73.9712,2
Szechuan,30.6171,102.7103,2
Rio de Janeiro,-22.9068,-43.1729,2
Marrakech,31.6295,-7.9811,1
Barcelona,41.3851,2.1734,1
Ivory Coast,7.54,-5.5471,1
Ecuador,-1.8312,-78.1834,1
Slovenia,46.1512,14.9955,1
South Africa,-30.5595,22.9375,1
Mexico,23.6345,-102.5528,1
Philippines,12.8797,121.774,1
Bristol,51.4545,-2.5879,1
Australia,-25.2744,133.7751,1
Muscat,23.588,58.3829,1
Africa,8.7832,34.5085,1
Los Angeles,34.0522,-118.2437,1
Caribbean,21.4691,-78.6569,1
Suzhou,31.2989,120.5853,1
Jiangsu,32.9711,119.455,1
East China,30.0,121.0,1
Cordoba,37.8882,-4.7794,1
Spain,40.4637,-3.7492,1
Venetian,45.4408,12.3155,1
Reunion,-21.1151,55.5364,1
Istanbul,41.0082,28.9784,1
Japan,36.2048,138.2529,1
Isparta,37.7648,30.5566,1
Cyclades,37.0,25.0,1
Bulgaria,42.7339,25.4858,1
Amazonian,-3.4653,-62.2159,1
Indonesia,-0.7893,113.9213,1
LA,34.0522,-118.2437,1
Sikkim,27.533,88.5122,1
Himalayas,28.0,84.0,1
Brussels,50.8503,4.3517,1
Puglia,40.7928,17.1011,1
Brooklyn,40.6782,-73.9442,1
Namibia,-22.9576,18.4904,1
Tuscany,43.7711,11.2486,1
Texas,31.9686,-99.9018,1
Somalia,5.1521,46.1996,1
Honduras,15.2,-86.2419,1
Mysore,12.2958,76.6394,1
Sicily,37.5994,14.0154,1
Piedmont,45.0522,7.5154,1
Amsterdam,52.3676,4.9041,1
The Netherlands,52.1326,5.2913,1
Southern France,43.8333,3.0,1
Dubai,25.2048,55.2708,1
